Format,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10w,player_name,player_country,batsman_bowling_style,batsman_playing_role
T20s,84,59,822,969,38,3/6,3/6,25.50,7.07,21.6,0,0,0,Wessly Madhevere Career Stats,Zimbabwe,Right arm Offbreak,Allrounder
Tests,20,-,-,-,-,-,-,-,-,-,-,-,-,Craig Ervine Career Stats,Zimbabwe,Right arm Offbreak,Middle order Batter
ODIs,116,-,-,-,-,-,-,-,-,-,-,-,-,Craig Ervine Career Stats,Zimbabwe,Right arm Offbreak,Middle order Batter
T20Is,65,-,-,-,-,-,-,-,-,-,-,-,-,Craig Ervine Career Stats,Zimbabwe,Right arm Offbreak,Middle order Batter
FC,89,-,210,143,3,2/44,-,47.66,4.08,70.0,0,0,0,Craig Ervine Career Stats,Zimbabwe,Right arm Offbreak,Middle order Batter
List A,210,-,158,125,1,1/25,1/25,125.00,4.74,158.0,0,0,0,Craig Ervine Career Stats,Zimbabwe,Right arm Offbreak,Middle order Batter
T20s,115,-,-,-,-,-,-,-,-,-,-,-,-,Craig Ervine Career Stats,Zimbabwe,Right arm Offbreak,Middle order Batter
Tests,22,-,-,-,-,-,-,-,-,-,-,-,-,Regis Chakabva Career Stats,Zimbabwe,Right arm Offbreak,Wicketkeeper
ODIs,61,-,-,-,-,-,-,-,-,-,-,-,-,Regis Chakabva Career Stats,Zimbabwe,Right arm Offbreak,Wicketkeeper
T20Is,49,-,-,-,-,-,-,-,-,-,-,-,-,Regis Chakabva Career Stats,Zimbabwe,Right arm Offbreak,Wicketkeeper
FC,121,5,48,33,1,1/4,1/14,33.00,4.12,48.0,0,0,0,Regis Chakabva Career Stats,Zimbabwe,Right arm Offbreak,Wicketkeeper
List A,173,-,-,-,-,-,-,-,-,-,-,-,-,Regis Chakabva Career Stats,Zimbabwe,Right arm Offbreak,Wicketkeeper
T20s,103,-,-,-,-,-,-,-,-,-,-,-,-,Regis Chakabva Career Stats,Zimbabwe,Right arm Offbreak,Wicketkeeper
Tests,14,22,2025,1072,21,3/20,6/111,51.04,3.17,96.4,0,0,0,Sean Williams Career Stats,Zimbabwe,Slow Left arm Orthodox,Middle order Batter
ODIs,156,128,4792,3946,83,4/43,4/43,47.54,4.94,57.7,1,0,0,Sean Williams Career Stats,Zimbabwe,Slow Left arm Orthodox,Middle order Batter
T20Is,76,69,1146,1321,47,3/15,3/15,28.1,6.91,24.3,0,0,0,Sean Williams Career Stats,Zimbabwe,Slow Left arm Orthodox,Middle order Batter
FC,67,-,5986,2951,91,6/47,-,32.42,2.95,65.7,3,3,1,Sean Williams Career Stats,Zimbabwe,Slow Left arm Orthodox,Middle order Batter
List A,256,-,8445,6614,183,7/25,7/25,36.14,4.69,46.1,4,2,0,Sean Williams Career Stats,Zimbabwe,Slow Left arm Orthodox,Middle order Batter
T20s,118,100,1608,1868,70,3/15,3/15,26.68,6.97,22.9,0,0,0,Sean Williams Career Stats,Zimbabwe,Slow Left arm Orthodox,Middle order Batter
Tests,17,25,2657,1441,34,7/113,8/176,42.38,3.25,78.1,0,2,0,Sikandar Raza Career Stats,Zimbabwe,Right arm Offbreak,Batting Allrounder
ODIs,139,109,4472,3653,85,4/55,4/55,42.97,4.9,52.6,1,0,0,Sikandar Raza Career Stats,Zimbabwe,Right arm Offbreak,Batting Allrounder
T20Is,78,67,1077,1266,55,4/8,4/8,23.01,7.05,19.5,2,0,0,Sikandar Raza Career Stats,Zimbabwe,Right arm Offbreak,Batting Allrounder
FC,66,69,4982,2738,77,7/113,8/176,35.55,3.29,64.7,2,2,0,Sikandar Raza Career Stats,Zimbabwe,Right arm Offbreak,Batting Allrounder
List A,240,178,7414,6037,166,4/33,4/33,36.36,4.88,44.6,3,0,0,Sikandar Raza Career Stats,Zimbabwe,Right arm Offbreak,Batting Allrounder
T20s,201,156,2475,3051,114,4/8,4/8,26.76,7.39,21.7,3,0,0,Sikandar Raza Career Stats,Zimbabwe,Right arm Offbreak,Batting Allrounder
Tests,4,5,370,250,1,1/64,1/131,250.00,4.05,370.0,0,0,0,Milton Shumba Career Stats,Zimbabwe,Slow Left arm Orthodox,Top order Batter
ODIs,7,2,41,42,0,-,-,-,6.14,-,0,0,0,Milton Shumba Career Stats,Zimbabwe,Slow Left arm Orthodox,Top order Batter
T20Is,30,5,72,103,4,3/16,3/16,25.75,8.58,18.0,0,0,0,Milton Shumba Career Stats,Zimbabwe,Slow Left arm Orthodox,Top order Batter
FC,26,28,1359,855,15,4/48,5/54,57.00,3.77,90.6,1,0,0,Milton Shumba Career Stats,Zimbabwe,Slow Left arm Orthodox,Top order Batter
List A,40,21,623,566,10,3/18,3/18,56.60,5.45,62.3,0,0,0,Milton Shumba Career Stats,Zimbabwe,Slow Left arm Orthodox,Top order Batter
T20s,53,17,262,277,19,5/18,5/18,14.57,6.34,13.7,2,1,0,Milton Shumba Career Stats,Zimbabwe,Slow Left arm Orthodox,Top order Batter
Tests,3,4,228,107,4,2/16,3/85,26.75,2.81,57.0,0,0,0,Ryan Burl Career Stats,Zimbabwe,Legbreak,Middle order Batter
ODIs,49,31,698,711,19,5/10,5/10,37.42,6.11,36.7,1,1,0,Ryan Burl Career Stats,Zimbabwe,Legbreak,Middle order Batter
T20Is,72,55,900,1044,49,3/13,3/13,21.3,6.96,18.3,0,0,0,Ryan Burl Career Stats,Zimbabwe,Legbreak,Middle order Batter
FC,30,33,1629,985,43,4/34,8/116,22.9,3.62,37.8,3,0,0,Ryan Burl Career Stats,Zimbabwe,Legbreak,Middle order Batter
List A,106,64,1873,1776,44,5/10,5/10,40.36,5.68,42.5,1,1,0,Ryan Burl Career Stats,Zimbabwe,Legbreak,Middle order Batter
T20s,113,78,1270,1484,62,3/13,3/13,23.93,7.01,20.4,0,0,0,Ryan Burl Career Stats,Zimbabwe,Legbreak,Middle order Batter
Tests,1,1,102,68,1,1/68,1/68,68.0,4.0,102.0,0,0,0,Luke Jongwe Career Stats,Zimbabwe,Right arm Fast medium,Allrounder
ODIs,42,38,1403,1329,40,5/6,5/6,33.22,5.68,35.0,0,1,0,Luke Jongwe Career Stats,Zimbabwe,Right arm Fast medium,Allrounder
T20Is,55,48,844,1183,56,4/18,4/18,21.12,8.4,15.0,1,0,0,Luke Jongwe Career Stats,Zimbabwe,Right arm Fast medium,Allrounder
FC,57,91,6759,3600,129,5/32,7/90,27.9,3.19,52.3,5,3,0,Luke Jongwe Career Stats,Zimbabwe,Right arm Fast medium,Allrounder
List A,93,84,2968,2859,78,5/6,5/6,36.65,5.77,38.0,0,1,0,Luke Jongwe Career Stats,Zimbabwe,Right arm Fast medium,Allrounder
T20s,85,76,1278,1824,75,4/18,4/18,24.32,8.56,17.0,1,0,0,Luke Jongwe Career Stats,Zimbabwe,Right arm Fast medium,Allrounder
Tests,4,6,648,369,5,2/104,2/104,73.8,3.41,129.6,0,0,0,Richard Ngarava Career Stats,Zimbabwe,Left arm Fast medium,Bowler
ODIs,41,39,1839,1648,48,4/43,4/43,34.33,5.37,38.3,1,0,0,Richard Ngarava Career Stats,Zimbabwe,Left arm Fast medium,Bowler
T20Is,46,46,988,1173,57,3/11,3/11,20.57,7.12,17.3,0,0,0,Richard Ngarava Career Stats,Zimbabwe,Left arm Fast medium,Bowler
FC,25,45,3429,1729,70,4/14,6/56,24.7,3.02,48.9,5,0,0,Richard Ngarava Career Stats,Zimbabwe,Left arm Fast medium,Bowler
List A,73,71,3146,2642,88,4/43,4/43,30.02,5.03,35.7,1,0,0,Richard Ngarava Career Stats,Zimbabwe,Left arm Fast medium,Bowler
T20s,77,76,1571,1899,81,3/11,3/11,23.44,7.25,19.3,0,0,0,Richard Ngarava Career Stats,Zimbabwe,Left arm Fast medium,Bowler
Tests,9,16,1695,663,24,5/61,6/106,27.62,2.34,70.6,0,1,0,Tendai Chatara Career Stats,Zimbabwe,Right arm Fast medium,Bowler
ODIs,87,87,4254,3752,115,4/33,4/33,32.62,5.29,36.9,1,0,0,Tendai Chatara Career Stats,Zimbabwe,Right arm Fast medium,Bowler
T20Is,56,56,1204,1450,62,3/7,3/7,23.38,7.22,19.4,0,0,0,Tendai Chatara Career Stats,Zimbabwe,Right arm Fast medium,Bowler
FC,61,112,10394,4762,221,6/33,11/49,21.54,2.74,47.0,7,10,1,Tendai Chatara Career Stats,Zimbabwe,Right arm Fast medium,Bowler
List A,181,181,8791,7250,269,5/34,5/34,26.95,4.94,32.6,7,4,0,Tendai Chatara Career Stats,Zimbabwe,Right arm Fast medium,Bowler
T20s,110,110,2362,2838,119,4/29,4/29,23.84,7.2,19.8,1,0,0,Tendai Chatara Career Stats,Zimbabwe,Right arm Fast medium,Bowler
Tests,6,9,1015,473,19,4/48,6/62,24.89,2.79,53.4,3,0,0,Blessing Muzarabani Career Stats,Zimbabwe,Right arm Fast medium,Bowler
ODIs,45,44,2156,1821,57,5/49,5/49,31.94,5.06,37.8,3,1,0,Blessing Muzarabani Career Stats,Zimbabwe,Right arm Fast medium,Bowler
T20Is,43,42,924,1148,49,3/21,3/21,23.42,7.45,18.8,0,0,0,Blessing Muzarabani Career Stats,Zimbabwe,Right arm Fast medium,Bowler
FC,23,39,2985,1577,68,5/32,6/48,23.19,3.16,43.8,5,1,0,Blessing Muzarabani Career Stats,Zimbabwe,Right arm Fast medium,Bowler
List A,66,65,3179,2562,91,5/21,5/21,28.15,4.83,34.9,4,2,0,Blessing Muzarabani Career Stats,Zimbabwe,Right arm Fast medium,Bowler
T20s,65,63,1339,1707,69,3/18,3/18,24.73,7.64,19.4,0,0,0,Blessing Muzarabani Career Stats,Zimbabwe,Right arm Fast medium,Bowler
Tests,57,-,-,-,-,-,-,-,-,-,-,-,-,Jos Buttler Career Stats,England,Wicketkeeper,Wicketkeeper Batter
ODIs,181,-,-,-,-,-,-,-,-,-,-,-,-,Jos Buttler Career Stats,England,Wicketkeeper,Wicketkeeper Batter
T20Is,114,-,-,-,-,-,-,-,-,-,-,-,-,Jos Buttler Career Stats,England,Wicketkeeper,Wicketkeeper Batter
FC,122,1,12,11,0,-,-,-,5.50,-,0,0,0,Jos Buttler Career Stats,England,Wicketkeeper,Wicketkeeper Batter
List A,251,-,-,-,-,-,-,-,-,-,-,-,-,Jos Buttler Career Stats,England,Wicketkeeper,Wicketkeeper Batter
T20s,392,-,-,-,-,-,-,-,-,-,-,-,-,Jos Buttler Career Stats,England,Wicketkeeper,Wicketkeeper Batter
Tests,11,1,18,2,0,-,-,-,0.66,-,0,0,0,Alex Hales Career Stats,England,Right arm Medium,Occasional Wicketkeeper
ODIs,70,-,-,-,-,-,-,-,-,-,-,-,-,Alex Hales Career Stats,England,Right arm Medium,Occasional Wicketkeeper
T20Is,75,-,-,-,-,-,-,-,-,-,-,-,-,Alex Hales Career Stats,England,Right arm Medium,Occasional Wicketkeeper
FC,107,8,311,173,3,2/63,2/63,57.66,3.33,103.6,0,0,0,Alex Hales Career Stats,England,Right arm Medium,Occasional Wicketkeeper
List A,175,2,4,10,0,-,-,-,15.00,-,0,0,0,Alex Hales Career Stats,England,Right arm Medium,Occasional Wicketkeeper
T20s,421,2,3,7,0,-,-,-,14.00,-,0,0,0,Alex Hales Career Stats,England,Right arm Medium,Occasional Wicketkeeper
Tests,68,119,12610,7612,204,6/53,10/112,37.31,3.62,61.8,13,5,1,Moeen Ali Career Stats,England,Left hand Bat,Right arm Offbreak
ODIs,138,128,5988,5311,111,4/46,4/46,47.84,5.32,53.9,2,0,0,Moeen Ali Career Stats,England,Left hand Bat,Right arm Offbreak
T20Is,82,65,909,1262,45,3/24,3/24,28.04,8.33,20.2,0,0,0,Moeen Ali Career Stats,England,Left hand Bat,Right arm Offbreak
FC,202,-,25340,14953,391,6/29,12/96,38.24,3.54,64.8,17,12,2,Moeen Ali Career Stats,England,Left hand Bat,Right arm Offbreak
List A,255,217,9099,8194,186,4/33,4/33,44.05,5.4,48.9,3,0,0,Moeen Ali Career Stats,England,Left hand Bat,Right arm Offbreak
T20s,301,245,3903,4972,199,5/34,5/34,24.98,7.64,19.6,2,1,0,Moeen Ali Career Stats,England,Left hand Bat,Right arm Offbreak
Tests,1,-,-,-,-,-,-,-,-,-,-,-,-,Liam Livingstone Career Stats,England,"Right arm Offbreak, Legbreak",Batting Allrounder
ODIs,25,19,566,523,17,3/16,3/16,30.76,5.54,33.2,0,0,0,Liam Livingstone Career Stats,England,"Right arm Offbreak, Legbreak",Batting Allrounder
T20Is,38,25,378,549,18,3/17,3/17,30.50,8.71,21.0,0,0,0,Liam Livingstone Career Stats,England,"Right arm Offbreak, Legbreak",Batting Allrounder
FC,63,68,3375,1554,43,6/52,6/52,36.13,2.76,78.4,0,1,0,Liam Livingstone Career Stats,England,"Right arm Offbreak, Legbreak",Batting Allrounder
List A,80,55,1871,1657,40,3/16,3/16,41.42,5.31,46.7,0,0,0,Liam Livingstone Career Stats,England,"Right arm Offbreak, Legbreak",Batting Allrounder
T20s,243,130,1897,2673,101,4/17,4/17,26.46,8.45,18.7,2,0,0,Liam Livingstone Career Stats,England,"Right arm Offbreak, Legbreak",Batting Allrounder
Tests,12,3,84,37,1,1/25,1/25,37.00,2.64,84.0,0,0,0,Harry Brook Career Stats,England,Right arm Medium,Batter
ODIs,15,-,-,-,-,-,-,-,-,-,-,-,-,Harry Brook Career Stats,England,Right arm Medium,Batter
T20Is,29,-,-,-,-,-,-,-,-,-,-,-,-,Harry Brook Career Stats,England,Right arm Medium,Batter
FC,68,32,1077,479,9,3/15,4/29,53.22,2.66,119.6,0,0,0,Harry Brook Career Stats,England,Right arm Medium,Batter
List A,30,1,18,19,0,-,-,-,6.33,-,0,0,0,Harry Brook Career Stats,England,Right arm Medium,Batter
T20s,127,2,12,26,1,1/13,1/13,26.00,13.00,12.0,0,0,0,Harry Brook Career Stats,England,Right arm Medium,Batter
Tests,97,146,11471,6318,197,6/22,8/161,32.07,3.3,58.2,8,4,0,Ben Stokes Career Stats,England,Right arm Fast medium,Allrounder
ODIs,114,88,3110,3137,74,5/61,5/61,42.39,6.05,42.0,1,1,0,Ben Stokes Career Stats,England,Right arm Fast medium,Allrounder
T20Is,43,36,612,856,26,3/26,3/26,32.92,8.39,23.5,0,0,0,Ben Stokes Career Stats,England,Right arm Fast medium,Allrounder
FC,177,263,19840,11348,376,7/67,10/121,30.18,3.43,52.7,18,7,1,Ben Stokes Career Stats,England,Right arm Fast medium,Allrounder
List A,184,133,4774,4597,137,5/61,5/61,33.55,5.77,34.8,3,1,0,Ben Stokes Career Stats,England,Right arm Fast medium,Allrounder
T20s,159,118,2007,2826,93,4/16,4/16,30.38,8.44,21.5,2,0,0,Ben Stokes Career Stats,England,Right arm Fast medium,Allrounder
Tests,24,42,3091,1669,47,4/58,5/92,35.51,3.23,65.7,2,0,0,Sam Curran Career Stats,England,Left arm Medium fast,Allrounder
ODIs,32,32,1277,1323,33,5/48,5/48,40.09,6.21,38.6,1,1,0,Sam Curran Career Stats,England,Left arm Medium fast,Allrounder
T20Is,46,46,869,1159,49,5/10,5/10,23.65,8.0,17.7,0,1,0,Sam Curran Career Stats,England,Left arm Medium fast,Allrounder
FC,80,134,11198,6222,206,7/58,10/101,30.2,3.33,54.3,7,7,1,Sam Curran Career Stats,England,Left arm Medium fast,Allrounder
List A,81,78,3497,3362,99,5/48,5/48,33.95,5.76,35.3,2,1,0,Sam Curran Career Stats,England,Left arm Medium fast,Allrounder
T20s,204,197,3826,5531,197,5/10,5/10,28.07,8.67,19.4,4,3,0,Sam Curran Career Stats,England,Left arm Medium fast,Allrounder
Tests,22,8,222,131,2,2/33,2/33,65.5,3.54,111.0,0,0,0,Dawid Malan Career Stats,England,Left hand Bat,Legbreak
ODIs,30,2,15,17,1,1/5,1/5,17.0,6.8,15.0,0,0,0,Dawid Malan Career Stats,England,Left hand Bat,Legbreak
T20Is,62,1,12,27,1,1/27,1/27,27.0,13.5,12.0,0,0,0,Dawid Malan Career Stats,England,Left hand Bat,Legbreak
FC,212,140,4249,2556,63,5/61,5/61,40.57,3.6,67.4,2,1,0,Dawid Malan Career Stats,England,Left hand Bat,Legbreak
List A,178,66,1362,1327,41,4/25,4/25,32.36,5.84,33.2,1,0,0,Dawid Malan Career Stats,England,Left hand Bat,Legbreak
T20s,316,52,567,722,23,2/10,2/10,31.39,7.64,24.6,0,0,0,Dawid Malan Career Stats,England,Left hand Bat,Legbreak
ODIs,35,-,-,-,-,-,-,-,-,-,-,-,-,Rahmanullah Gurbaz Career Stats,Afghanistan,Wicketkeeper,Wicketkeeper Batter
T20Is,43,-,-,-,-,-,-,-,-,-,-,-,-,Rahmanullah Gurbaz Career Stats,Afghanistan,Wicketkeeper,Wicketkeeper Batter
FC,12,-,-,-,-,-,-,-,-,-,-,-,-,Rahmanullah Gurbaz Career Stats,Afghanistan,Wicketkeeper,Wicketkeeper Batter
List A,64,-,-,-,-,-,-,-,-,-,-,-,-,Rahmanullah Gurbaz Career Stats,Afghanistan,Wicketkeeper,Wicketkeeper Batter
T20s,146,1,3,9,0,-,-,-,18.00,-,0,0,0,Rahmanullah Gurbaz Career Stats,Afghanistan,Wicketkeeper,Wicketkeeper Batter
ODIs,17,2,38,34,1,1/21,1/21,34.00,5.36,38.0,0,0,0,Usman Ghani Career Stats,Afghanistan,Opening Batter,NotAvailable
T20Is,35,-,-,-,-,-,-,-,-,-,-,-,-,Usman Ghani Career Stats,Afghanistan,Opening Batter,NotAvailable
FC,20,12,114,67,0,-,-,-,3.52,-,0,0,0,Usman Ghani Career Stats,Afghanistan,Opening Batter,NotAvailable
List A,48,5,62,55,1,1/21,1/21,55.00,5.32,62.0,0,0,0,Usman Ghani Career Stats,Afghanistan,Opening Batter,NotAvailable
T20s,76,1,6,16,0,-,-,-,16.00,-,0,0,0,Usman Ghani Career Stats,Afghanistan,Opening Batter,NotAvailable
Tests,5,1,12,13,1,1/13,1/13,13.00,6.50,12.0,0,0,0,Ibrahim Zadran Career Stats,Afghanistan,Right arm Medium fast,Opening Batter
ODIs,28,-,-,-,-,-,-,-,-,-,-,-,-,Ibrahim Zadran Career Stats,Afghanistan,Right arm Medium fast,Opening Batter
T20Is,24,-,-,-,-,-,-,-,-,-,-,-,-,Ibrahim Zadran Career Stats,Afghanistan,Right arm Medium fast,Opening Batter
FC,19,7,150,74,3,1/13,1/13,24.66,2.96,50.0,0,0,0,Ibrahim Zadran Career Stats,Afghanistan,Right arm Medium fast,Opening Batter
List A,55,10,306,274,8,2/12,2/12,34.25,5.37,38.2,0,0,0,Ibrahim Zadran Career Stats,Afghanistan,Right arm Medium fast,Opening Batter
T20s,61,14,183,266,6,3/42,3/42,44.33,8.72,30.5,0,0,0,Ibrahim Zadran Career Stats,Afghanistan,Right arm Medium fast,Opening Batter
ODIs,92,2,30,30,0,-,-,-,6.00,-,0,0,0,Najibullah Zadran Career Stats,Afghanistan,Right arm Offbreak,Middle order Batter
T20Is,94,-,-,-,-,-,-,-,-,-,-,-,-,Najibullah Zadran Career Stats,Afghanistan,Right arm Offbreak,Middle order Batter
FC,5,4,156,85,2,1/12,1/42,42.50,3.26,78.0,0,0,0,Najibullah Zadran Career Stats,Afghanistan,Right arm Offbreak,Middle order Batter
List A,120,17,334,278,4,1/10,1/10,69.50,4.99,83.5,0,0,0,Najibullah Zadran Career Stats,Afghanistan,Right arm Offbreak,Middle order Batter
T20s,198,2,12,8,1,1/6,1/6,8.00,4.00,12.0,0,0,0,Najibullah Zadran Career Stats,Afghanistan,Right arm Offbreak,Middle order Batter
ODIs,79,73,2697,2452,72,6/43,6/43,34.05,5.45,37.4,3,1,0,Gulbadin Naib Career Stats,Afghanistan,Right hand Bat,Right arm Medium fast
T20Is,60,39,589,801,26,3/28,3/28,30.8,8.15,22.6,0,0,0,Gulbadin Naib Career Stats,Afghanistan,Right hand Bat,Right arm Medium fast
FC,5,7,460,326,14,5/29,5/29,23.28,4.25,32.8,0,2,0,Gulbadin Naib Career Stats,Afghanistan,Right hand Bat,Right arm Medium fast
List A,122,109,4066,3712,119,6/43,6/43,31.19,5.47,34.1,6,1,0,Gulbadin Naib Career Stats,Afghanistan,Right hand Bat,Right arm Medium fast
T20s,118,85,1379,1886,70,4/12,4/12,26.94,8.2,19.7,1,0,0,Gulbadin Naib Career Stats,Afghanistan,Right hand Bat,Right arm Medium fast
Tests,3,5,546,254,8,3/36,4/95,31.75,2.79,68.2,0,0,0,Mohammad Nabi Career Stats,Afghanistan,Right arm Offbreak,Allrounder
ODIs,156,151,7314,5229,162,4/30,4/30,32.27,4.28,45.1,4,0,0,Mohammad Nabi Career Stats,Afghanistan,Right arm Offbreak,Allrounder
T20Is,109,103,1990,2427,87,4/10,4/10,27.89,7.31,22.8,3,0,0,Mohammad Nabi Career Stats,Afghanistan,Right arm Offbreak,Allrounder
FC,35,57,4848,2178,94,6/33,8/85,23.17,2.69,51.5,4,3,0,Mohammad Nabi Career Stats,Afghanistan,Right arm Offbreak,Allrounder
List A,191,186,9115,6469,210,5/12,5/12,30.8,4.25,43.4,5,1,0,Mohammad Nabi Career Stats,Afghanistan,Right arm Offbreak,Allrounder
T20s,366,352,6928,8103,331,5/15,5/15,24.48,7.01,20.9,7,1,0,Mohammad Nabi Career Stats,Afghanistan,Right arm Offbreak,Allrounder
Tests,5,9,1534,760,34,7/137,11/104,22.35,2.97,45.1,1,4,2,Rashid Khan Career Stats,Afghanistan,Legbreak Googly,Bowling Allrounder
ODIs,103,98,5300,3748,183,7/18,7/18,20.48,4.24,28.9,6,4,0,Rashid Khan Career Stats,Afghanistan,Legbreak Googly,Bowling Allrounder
T20Is,82,82,1874,1925,130,5/3,5/3,14.8,6.16,14.4,4,2,0,Rashid Khan Career Stats,Afghanistan,Legbreak Googly,Bowling Allrounder
FC,9,17,2713,1287,69,8/74,12/122,18.65,2.84,39.3,2,8,3,Rashid Khan Career Stats,Afghanistan,Legbreak Googly,Bowling Allrounder
List A,105,100,5407,3836,187,7/18,7/18,20.51,4.25,28.9,6,4,0,Rashid Khan Career Stats,Afghanistan,Legbreak Googly,Bowling Allrounder
T20s,410,407,9464,10178,556,6/17,6/17,18.3,6.45,17.0,11,4,0,Rashid Khan Career Stats,Afghanistan,Legbreak Googly,Bowling Allrounder
ODIs,22,22,658,624,13,2/52,2/52,48.0,5.68,50.6,0,0,0,Azmatullah Omarzai Career Stats,Afghanistan,Right arm Medium fast,Allrounder
T20Is,24,22,315,455,11,3/22,3/22,41.36,8.66,28.6,0,0,0,Azmatullah Omarzai Career Stats,Afghanistan,Right arm Medium fast,Allrounder
FC,5,7,600,327,16,4/73,8/155,20.43,3.27,37.5,2,0,0,Azmatullah Omarzai Career Stats,Afghanistan,Right arm Medium fast,Allrounder
List A,54,53,1821,1660,42,3/36,3/36,39.52,5.46,43.3,0,0,0,Azmatullah Omarzai Career Stats,Afghanistan,Right arm Medium fast,Allrounder
T20s,62,59,1137,1471,59,3/16,3/16,24.93,7.76,19.2,0,0,0,Azmatullah Omarzai Career Stats,Afghanistan,Right arm Medium fast,Allrounder
Tests,1,1,90,75,1,1/75,1/75,75.0,5.0,90.0,0,0,0,Mujeeb Ur Rahman Career Stats,Afghanistan,Right hand Bat,Right arm Offbreak
ODIs,75,74,3968,2863,101,5/50,5/50,28.34,4.32,39.2,3,1,0,Mujeeb Ur Rahman Career Stats,Afghanistan,Right hand Bat,Right arm Offbreak
T20Is,43,43,954,999,56,5/20,5/20,17.83,6.28,17.0,1,1,0,Mujeeb Ur Rahman Career Stats,Afghanistan,Right hand Bat,Right arm Offbreak
FC,1,1,90,75,1,1/75,1/75,75.0,5.0,90.0,0,0,0,Mujeeb Ur Rahman Career Stats,Afghanistan,Right hand Bat,Right arm Offbreak
List A,90,89,4817,3390,122,5/50,5/50,27.78,4.22,39.4,3,1,0,Mujeeb Ur Rahman Career Stats,Afghanistan,Right hand Bat,Right arm Offbreak
T20s,231,231,5230,5869,247,5/15,5/15,23.76,6.73,21.1,3,2,0,Mujeeb Ur Rahman Career Stats,Afghanistan,Right hand Bat,Right arm Offbreak
Tests,5,1,12,8,0,-,-,-,4.0,-,0,0,0,Aaron Finch Career Stats,Australia,Right hand Bat,Slow Left arm Orthodox
ODIs,146,21,284,259,4,1/2,1/2,64.75,5.47,71.0,0,0,0,Aaron Finch Career Stats,Australia,Right hand Bat,Slow Left arm Orthodox
T20Is,103,2,12,27,0,-,-,-,13.5,-,0,0,0,Aaron Finch Career Stats,Australia,Right hand Bat,Slow Left arm Orthodox
FC,88,28,464,318,5,1/0,1/0,63.60,4.11,92.8,0,0,0,Aaron Finch Career Stats,Australia,Right hand Bat,Slow Left arm Orthodox
List A,233,31,479,440,9,2/44,2/44,48.88,5.51,53.2,0,0,0,Aaron Finch Career Stats,Australia,Right hand Bat,Slow Left arm Orthodox
T20s,386,28,239,369,7,1/9,1/9,52.71,9.26,34.1,0,0,0,Aaron Finch Career Stats,Australia,Right hand Bat,Slow Left arm Orthodox
ODIs,4,1,12,20,1,1/20,1/20,20.0,10.0,12.0,0,0,0,Tim David Career Stats,Australia,Right arm Offbreak,Middle order Batter
T20Is,33,11,164,255,5,1/18,1/18,51.0,9.32,32.8,0,0,0,Tim David Career Stats,Australia,Right arm Offbreak,Middle order Batter
List A,20,7,228,171,10,3/26,3/26,17.1,4.5,22.8,0,0,0,Tim David Career Stats,Australia,Right arm Offbreak,Middle order Batter
T20s,194,50,567,848,14,1/4,1/4,60.57,8.97,40.5,0,0,0,Tim David Career Stats,Australia,Right arm Offbreak,Middle order Batter
ODIs,10,6,150,119,3,1/6,1/6,39.66,4.76,50.0,0,0,0,Deepak Hooda Career Stats,India,Right arm Offbreak,Allrounder
T20Is,21,8,95,76,6,4/10,4/10,12.66,4.8,15.8,1,0,0,Deepak Hooda Career Stats,India,Right arm Offbreak,Allrounder
FC,48,40,1775,884,23,5/31,7/74,38.43,2.98,77.1,0,2,0,Deepak Hooda Career Stats,India,Right arm Offbreak,Allrounder
List A,93,47,1478,1104,39,5/55,5/55,28.3,4.48,37.8,0,1,0,Deepak Hooda Career Stats,India,Right arm Offbreak,Allrounder
T20s,195,67,840,1061,24,4/10,4/10,44.2,7.57,35.0,1,0,0,Deepak Hooda Career Stats,India,Right arm Offbreak,Allrounder
Tests,21,37,3348,1644,63,6/82,8/96,26.09,2.94,53.1,3,4,0,Bhuvneshwar Kumar Career Stats,India,Right arm Medium,Bowler
ODIs,121,120,5847,4951,141,5/42,5/42,35.11,5.08,41.4,4,1,0,Bhuvneshwar Kumar Career Stats,India,Right arm Medium,Bowler
T20Is,87,86,1791,2079,90,5/4,5/4,23.1,6.96,19.9,3,2,0,Bhuvneshwar Kumar Career Stats,India,Right arm Medium,Bowler
FC,70,123,12393,5785,218,6/77,9/103,26.53,2.8,56.8,9,12,0,Bhuvneshwar Kumar Career Stats,India,Right arm Medium,Bowler
List A,173,170,8369,6769,219,5/42,5/42,30.9,4.85,38.2,7,1,0,Bhuvneshwar Kumar Career Stats,India,Right arm Medium,Bowler
T20s,270,269,5864,7019,288,5/4,5/4,24.37,7.18,20.3,5,5,0,Bhuvneshwar Kumar Career Stats,India,Right arm Medium,Bowler
Tests,64,122,11515,6346,229,6/56,9/118,27.71,3.3,50.2,12,6,0,Mohammed Shami Career Stats,India,Right arm Fast,Bowler
ODIs,101,100,4985,4618,195,7/57,7/57,23.68,5.55,25.5,10,5,0,Mohammed Shami Career Stats,India,Right arm Fast,Bowler
T20Is,23,23,477,711,24,3/15,3/15,29.62,8.94,19.8,0,0,0,Mohammed Shami Career Stats,India,Right arm Fast,Bowler
FC,88,166,16500,8995,332,7/79,11/151,27.09,3.27,49.6,17,12,2,Mohammed Shami Career Stats,India,Right arm Fast,Bowler
